sample	SBS1	SBS2	SBS13	SBS17b
MGH1002_1	0.704349504	0.045617619	0.250032879	0
MGH1002_19	0.265299171	0.274730329	0.400629103	0.059341399
MGH1002_20	0.300380504	0.194623737	0.248436503	0.256559267
MGH1002_15	0.540359473	0.198289047	0.259043196	0.002308278
MGH1002_11	0.779006203	0.220993808	0	0
MGH1002_13	0.1453385	0.594571266	0.260090233	0
MGH1002_21	0.000629503	0.48584981	0.350014332	0.163506335
MGH1002_10	5.75E-46	0.524018748	0.475981263	0
MGH1002_12	0.004530341	0.42985092	0.565618728	7.03E-33
MGH1002_8	0.475436231	0.240054921	0.28450884	8.78E-45
MGH1002_14	0.077896542	0.594623662	0.327479793	0
MGH1002_17	1.79E-45	0.320910494	0.667518287	0.011571244
Space_MGH1002_1	0	0	0	0
Space_MGH1002_2	0	0	0	0
Space_MGH1002_3	0	0	0	0
Space_MGH1002_4	0	0	0	0
MGH1078_1	0.63813555	0.189960921	0.129935838	0.041967689
MGH1078_2	1	2.08E-44	5.51E-32	0
MGH1078_5	0.853987864	0.10959853	0	0.036413608
Space_MGH1078_1	0	0	0	0
Space_MGH1078_2	0	0	0	0
Space_MGH1078_3	0	0	0	0
Space_MGH1078_4	0	0	0	0
MGH1326_1	1	5.19E-45	0	7.84E-31
MGH1326_9	1	0	0	0
MGH1326_2	1	0	0	0
MGH1326_12	0.762926008	3.57E-45	0	0.237073984
MGH1326_13	0.865509333	0.031813022	0.053220894	0.049456748
MGH1326_6	0.845884593	0	0.154115421	0
MGH1326_10	0.31467676	0.016379626	0.038946594	0.629997057
Space_MGH1326_1	0	0	0	0
Space_MGH1326_2	0	0	0	0
Space_MGH1326_3	0	0	0	0
Space_MGH1326_4	0	0	0	0
MGH1534_1	0.922530935	0.054659654	0.012590292	0.010219116
MGH1534_2	0.292147791	0.61651241	0.091339806	0
Space_MGH1534_1	0	0	0	0
Space_MGH1534_2	0	0	0	0
Space_MGH1534_3	0	0	0	0
Space_MGH1534_4	0	0	0	0
MGH1547_1	0.11720293	0.476989274	0.405807783	0
MGH1547_8	0.154625277	0.292776428	0.319462845	0.233135449
MGH1547_15	0.119091085	0.167745714	0.211021592	0.502141608
MGH1547_2	0.014815717	0.48295565	0.443632873	0.058595776
MGH1547_12	0.404845424	1.76E-45	0.079376188	0.515778393
MGH1547_6	0.242722014	0.195703758	0.561574224	0
MGH1547_9	0.770894757	0.140124224	0.088981029	0
MGH1547_13	0.773553801	0.15877093	0.034706625	0.032968644
Space_MGH1547_1	0	0	0	0
Space_MGH1547_2	0	0	0	0
Space_MGH1547_3	0	0	0	0
Space_MGH1547_4	0	0	0	0
MGH1558_1	0.462349938	0.454100575	4.87E-27	0.083549491
MGH1558_4	0.698138159	0.151179343	0.150682502	0
MGH1558_8	1	0	1.19E-44	0
MGH1558_3	0.379891917	0.37810231	0.242005785	0
MGH1558_7	0.766318859	0.120437215	0	0.113243926
MGH1558_2	0.643297809	0.356702195	0	0
MGH1558_5	0.806326198	0.19367379	0	0
MGH1558_6	1	0	0	0
MGH1558_10	0.727968434	0.271255051	0.000776505	0
MGH1558_11	0.012266599	0.737682503	0.250050878	2.13E-46
MGH1558_9	1	7.92E-31	0	1.29E-30
MGH1558_12	0.73690983	0.207417508	0.037978158	0.017694521
Space_MGH1558_1	0	0	0	0
Space_MGH1558_2	0	0	0	0
Space_MGH1558_3	0	0	0	0
Space_MGH1558_4	0	0	0	0
MGH1598_1	1	5.21E-31	0	0
MGH1598_6	0.905142205	0.014409555	0	0.080448223
MGH1598_2	0.696271376	0.303728634	3.60E-45	0
MGH1598_5	0.806344833	0.143375932	0.050279234	1.14E-44
MGH1598_3	1	0	0	0
MGH1598_4	1.65E-45	0.249419509	0.05481653	0.695763972
MGH1598_7	0.941345948	0.058654066	0	0
MGH1598_8	0.45479502	0.193148829	0.01095925	0.341096897
MGH1598_9	0.984811514	0.003625597	3.60E-45	0.011562896
Space_MGH1598_1	0	0	0	0
Space_MGH1598_2	0	0	0	0
Space_MGH1598_3	0	0	0	0
Space_MGH1598_4	0	0	0	0
MGH1644_1	0.346491475	0.364677612	0.288830907	0
MGH1644_3	0.036692016	0.584838659	0.378469339	0
MGH1644_6	0.466101562	0.358511722	0.175386714	0
MGH1644_7	0.756377838	8.30E-14	0.243622166	0
MGH1644_8	0.55491365	0.310515712	0.134570633	0
Space_MGH1644_1	0	0	0	0
Space_MGH1644_2	0	0	0	0
Space_MGH1644_3	0	0	0	0
Space_MGH1644_4	0	0	0	0
MGH2389_1	0.549237549	0.155494175	0.295268281	0
MGH2389_3	1.34E-45	0.602516586	0.397483416	0
MGH2389_5	0.045811377	0.418779253	0.535409355	3.88E-45
MGH2389_16	0.05137195	0.395681749	0.456913642	0.096032668
MGH2389_10	0.0915677	0.651763887	0.094231683	0.162436696
MGH2389_14	0.122249941	0.368441829	0.323978225	0.185330007
MGH2389_12	0.025100958	0.521119298	0.367504673	0.086275069
MGH2389_4	9.02E-46	1	9.61E-17	0
MGH2389_9	1.10E-46	0.849485258	0.150514736	0
MGH2389_15	2.05E-46	0.800941641	0.19905836	5.14E-47
MGH2389_7	0.041182038	0.71891372	0.239904235	0
